aggregation,category,method,metric,estimate,ci_lower,ci_upper,cases,query_outfits
micro,all,minilm_text,hr_at_5,0.12,0.0978792745531847,0.14198798281683753,1000,734
micro,all,minilm_text,hr_at_10,0.177,0.15104153812931884,0.20300075757575758,1000,734
micro,all,minilm_text,ndcg_at_1,0.048,0.034055185216175926,0.0633531642637948,1000,734
micro,all,minilm_text,ndcg_at_5,0.08427432481176256,0.06781988073502412,0.10198252177983491,1000,734
micro,all,minilm_text,ndcg_at_10,0.10258375329699661,0.08516586989883582,0.12041773414839044,1000,734
micro,all,minilm_text,mrr,0.1015921397808333,0.0866091727851682,0.11787510718086532,1000,734
category,bags,minilm_text,hr_at_1,0.035,0.010050251256281407,0.06598984771573604,200,186
category,bags,minilm_text,hr_at_5,0.11,0.06598984771573604,0.1584274081613767,200,186
category,bags,minilm_text,hr_at_10,0.17,0.12,0.22614241156521508,200,186
category,bags,minilm_text,ndcg_at_1,0.035,0.010050251256281407,0.0663265306122449,200,186
category,bags,minilm_text,ndcg_at_5,0.0727281527606812,0.042173465029749106,0.10811642094496329,200,186
category,bags,minilm_text,ndcg_at_10,0.09209734111896996,0.06010390840921806,0.12808393028333226,200,186
category,bags,minilm_text,mrr,0.09068581366601315,0.06371359014249704,0.12226275043083439,200,186
category,bottoms,minilm_text,hr_at_1,0.04,0.015,0.0696604477611939,200,188
category,bottoms,minilm_text,hr_at_5,0.095,0.05583756345177665,0.135678391959799,200,188
category,bottoms,minilm_text,hr_at_10,0.155,0.10823731554477466,0.20512820512820512,200,188
category,bottoms,minilm_text,ndcg_at_1,0.04,0.015,0.06930693069306931,200,188
category,bottoms,minilm_text,ndcg_at_5,0.06781977305943668,0.03911560602612993,0.10142190314429272,200,188
category,bottoms,minilm_text,ndcg_at_10,0.08666221648942045,0.056910528661197286,0.1189954786098333,200,188
category,bottoms,minilm_text,mrr,0.0884872038617215,0.0632071001727788,0.1178740141519195,200,188
category,outerwear,minilm_text,hr_at_1,0.075,0.039603960396039604,0.11518828030608128,200,179
category,outerwear,minilm_text,hr_at_5,0.145,0.095,0.19902912621359223,200,179
category,outerwear,minilm_text,hr_at_10,0.205,0.1477832512315271,0.263681592039801,200,179
category,outerwear,minilm_text,ndcg_at_1,0.075,0.04039896451956756,0.115,200,179
category,outerwear,minilm_text,ndcg_at_5,0.11110192028273275,0.06920037996360283,0.15667133121486476,200,179
category,outerwear,minilm_text,ndcg_at_10,0.12998622870760235,0.08968039655291919,0.1744290594755192,200,179
category,outerwear,minilm_text,mrr,0.1277563542785404,0.09077538300751953,0.16949776913843245,200,179
category,shoes,minilm_text,hr_at_1,0.035,0.01030795664816284,0.06436444017536071,200,192
category,shoes,minilm_text,hr_at_5,0.105,0.06435643564356436,0.14797307536876117,200,192
category,shoes,minilm_text,hr_at_10,0.175,0.12376237623762376,0.22885572139303484,200,192
category,shoes,minilm_text,ndcg_at_1,0.035,0.010101010101010102,0.06467661691542288,200,192
category,shoes,minilm_text,ndcg_at_5,0.0703170655647112,0.04077642929669698,0.10291376919679955,200,192
category,shoes,minilm_text,ndcg_at_10,0.09330286921622313,0.06248619851168929,0.1260628724289031,200,192
category,shoes,minilm_text,mrr,0.08977034321877103,0.0644351163219738,0.1189766174109056,200,192
category,tops,minilm_text,hr_at_1,0.055,0.02512562814070352,0.08629441624365482,200,192
category,tops,minilm_text,hr_at_5,0.145,0.09755784865540965,0.19597989949748743,200,192
category,tops,minilm_text,hr_at_10,0.18,0.1274372947148403,0.23618090452261306,200,192
category,tops,minilm_text,ndcg_at_1,0.055,0.02512562814070352,0.08737864077669903,200,192
category,tops,minilm_text,ndcg_at_5,0.09940471239125089,0.06593488436654085,0.13673764281323453,200,192
category,tops,minilm_text,ndcg_at_10,0.11087011095276711,0.07536073754816312,0.14973826522843173,200,192
category,tops,minilm_text,mrr,0.11126098387912035,0.0806070966419134,0.1462587711167896,200,192
category_macro,all,minilm_text,hr_at_1,0.048,0.03371392944018663,0.06428823763416232,1000,734
category_macro,all,minilm_text,hr_at_5,0.12,0.09832754166847314,0.1425307899180933,1000,734
category_macro,all,minilm_text,hr_at_10,0.177,0.15158064792974107,0.20307197273343772,1000,734
category_macro,all,minilm_text,ndcg_at_1,0.048,0.03371392944018663,0.06428823763416232,1000,734
category_macro,all,minilm_text,ndcg_at_5,0.08427432481176253,0.06760903032908483,0.10218157482766028,1000,734
category_macro,all,minilm_text,ndcg_at_10,0.10258375329699661,0.0855119494792183,0.12093540825088293,1000,734
category_macro,all,minilm_text,mrr,0.1015921397808333,0.0866130227326106,0.11809598683073687,1000,734
